"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 12월 29일","11.80","12.00","12.05","11.80","304.30K","-1.67%"
"2017년 12월 28일","12.00","11.85","12.05","11.75","266.21K","1.27%"
"2017년 12월 27일","11.85","11.55","11.98","11.50","274.56K","3.04%"
"2017년 12월 26일","11.50","11.60","11.90","11.48","362.22K","-2.13%"
"2017년 12월 22일","11.75","11.90","12.05","11.75","388.54K","-1.67%"
"2017년 12월 21일","11.95","11.85","12.10","11.85","397.67K","1.27%"
"2017년 12월 20일","11.80","11.80","12.00","11.75","600.53K","0.00%"
"2017년 12월 19일","11.80","11.45","11.95","11.30","664.99K","3.96%"
"2017년 12월 18일","11.35","11.40","11.50","11.25","245.89K","0.00%"
"2017년 12월 15일","11.35","11.00","11.45","10.88","674.90K","4.13%"
"2017년 12월 14일","10.90","11.00","11.10","10.85","275.47K","-0.91%"
"2017년 12월 13일","11.00","11.45","11.65","10.95","436.05K","-3.51%"
"2017년 12월 12일","11.40","11.75","11.75","11.32","313.38K","-2.56%"
"2017년 12월 11일","11.70","11.55","11.80","11.55","375.90K","1.30%"
"2017년 12월 08일","11.55","11.55","11.70","11.50","240.41K","0.43%"
"2017년 12월 07일","11.50","11.40","11.55","11.20","360.63K","0.88%"
"2017년 12월 06일","11.40","11.35","11.60","11.15","630.62K","0.88%"
"2017년 12월 05일","11.30","11.20","11.52","11.18","427.50K","1.35%"
"2017년 12월 04일","11.15","11.45","11.55","11.13","563.38K","-2.19%"
"2017년 12월 01일","11.40","11.35","11.50","11.18","350.31K","0.44%"
"2017년 11월 30일","11.35","10.95","11.45","10.95","439.39K","4.61%"
"2017년 11월 29일","10.85","10.80","10.95","10.77","234.82K","0.46%"
"2017년 11월 28일","10.80","10.90","11.15","10.77","278.89K","-0.92%"
"2017년 11월 27일","10.90","11.15","11.18","10.82","337.18K","-2.68%"
"2017년 11월 24일","11.20","11.25","11.30","11.15","104.88K","0.45%"
"2017년 11월 22일","11.15","11.25","11.40","11.10","167.93K","-0.89%"
"2017년 11월 21일","11.25","11.25","11.45","11.20","225.18K","0.00%"
"2017년 11월 20일","11.25","10.95","11.35","10.85","249.77K","3.21%"
"2017년 11월 17일","10.90","10.85","11.05","10.70","214.11K","0.00%"
"2017년 11월 16일","10.90","10.60","11.02","10.45","561.70K","2.83%"
