"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 12월 31일","25.70","25.42","25.84","25.10","344.01K","1.46%"
"2018년 12월 28일","25.33","25.38","25.65","24.70","408.96K","0.48%"
"2018년 12월 27일","25.21","24.73","25.30","24.38","617.86K","0.56%"
"2018년 12월 26일","25.07","23.75","25.09","23.14","649.20K","5.91%"
"2018년 12월 24일","23.67","22.86","24.13","22.79","430.38K","1.74%"
"2018년 12월 21일","23.26","23.84","24.33","22.89","2.16M","-2.41%"
"2018년 12월 20일","23.84","24.63","25.04","23.34","1.08M","-4.10%"
"2018년 12월 19일","24.86","24.61","25.67","24.50","670.82K","3.58%"
"2018년 12월 18일","24.00","24.19","24.69","23.95","770.54K","-0.79%"
"2018년 12월 17일","24.19","24.85","24.88","23.36","1.03M","-2.54%"
"2018년 12월 14일","24.82","25.49","25.80","24.82","559.84K","-3.12%"
"2018년 12월 13일","25.62","25.82","25.98","25.14","1.44M","-0.85%"
"2018년 12월 12일","25.84","26.43","26.59","25.55","561.31K","-1.60%"
"2018년 12월 11일","26.26","26.10","26.32","25.10","507.89K","1.63%"
"2018년 12월 10일","25.84","26.09","26.19","25.42","439.07K","-1.37%"
"2018년 12월 07일","26.20","27.34","27.92","26.10","507.36K","-2.86%"
"2018년 12월 06일","26.97","26.29","27.09","25.93","693.41K","1.09%"
"2018년 12월 04일","26.68","27.18","27.59","26.68","574.41K","-1.88%"
"2018년 12월 03일","27.19","27.60","27.81","26.53","542.83K","0.89%"
"2018년 11월 30일","26.95","27.10","27.67","26.15","396.09K","-2.04%"
"2018년 11월 29일","27.51","27.92","27.92","27.20","435.48K","-1.29%"
"2018년 11월 28일","27.87","27.35","27.87","26.92","554.16K","1.75%"
"2018년 11월 27일","27.39","25.34","27.63","25.34","1.02M","8.13%"
"2018년 11월 26일","25.33","25.28","25.89","24.66","575.66K","1.04%"
"2018년 11월 23일","25.07","26.41","26.65","24.83","267.33K","-6.59%"
"2018년 11월 21일","26.84","26.42","27.06","26.19","444.55K","2.17%"
"2018년 11월 20일","26.27","26.28","27.22","25.97","627.99K","-0.94%"
"2018년 11월 19일","26.52","26.33","27.12","25.94","547.83K","-0.26%"
"2018년 11월 16일","26.59","26.21","26.71","25.92","789.71K","1.22%"
"2018년 11월 15일","26.27","26.02","26.78","25.85","623.22K","0.61%"
"2018년 11월 14일","26.11","25.45","26.60","25.30","661.47K","3.69%"
"2018년 11월 13일","25.18","25.23","25.75","24.54","596.72K","0.36%"
"2018년 11월 12일","25.09","25.77","26.03","25.08","1.87M","-2.41%"
"2018년 11월 09일","25.71","24.84","25.86","24.84","459.00K","2.86%"
"2018년 11월 08일","25.00","24.80","25.45","24.09","628.74K","0.26%"
"2018년 11월 07일","24.93","28.24","28.56","23.20","1.75M","-13.71%"
"2018년 11월 06일","28.89","28.36","29.35","27.64","952.65K","2.01%"
"2018년 11월 05일","28.32","29.05","29.79","28.16","599.09K","-1.29%"
"2018년 11월 02일","28.69","31.49","31.50","28.66","829.33K","-8.07%"
"2018년 11월 01일","31.21","31.00","31.63","30.55","866.05K","0.42%"
"2018년 10월 31일","31.08","31.72","32.52","31.05","857.35K","-0.77%"
"2018년 10월 30일","31.32","29.17","31.35","29.17","625.85K","6.57%"
"2018년 10월 29일","29.39","30.18","30.50","29.01","739.95K","-0.68%"
"2018년 10월 26일","29.59","27.87","30.34","27.62","893.97K","5.30%"
"2018년 10월 25일","28.10","27.74","28.41","27.61","964.13K","2.18%"
"2018년 10월 24일","27.50","28.99","29.07","27.49","1.18M","-4.88%"
"2018년 10월 23일","28.91","28.30","29.11","27.27","867.01K","-0.03%"
"2018년 10월 22일","28.92","29.83","30.36","28.49","682.86K","-2.33%"
"2018년 10월 19일","29.61","31.09","31.39","29.28","1.61M","-4.91%"
"2018년 10월 18일","31.14","29.98","31.62","29.98","1.14M","3.87%"
"2018년 10월 17일","29.98","30.17","30.40","29.38","743.79K","0.37%"
"2018년 10월 16일","29.87","28.61","30.04","28.61","4.92M","4.55%"
"2018년 10월 15일","28.57","27.48","28.67","27.04","915.40K","5.97%"
"2018년 10월 12일","26.96","26.74","27.56","26.44","484.60K","2.16%"
"2018년 10월 11일","26.39","25.50","27.41","25.01","1.39M","1.19%"
"2018년 10월 10일","26.08","27.78","27.78","26.03","622.56K","-5.98%"
"2018년 10월 09일","27.74","27.86","28.13","27.30","609.24K","-0.25%"
"2018년 10월 08일","27.81","28.26","28.34","27.22","740.87K","-2.35%"
"2018년 10월 05일","28.48","27.83","28.70","27.37","413.53K","2.01%"
"2018년 10월 04일","27.92","28.69","28.70","27.50","932.17K","-2.75%"
"2018년 10월 03일","28.71","28.33","28.83","27.94","825.58K","1.45%"
"2018년 10월 02일","28.30","27.93","28.52","27.72","670.10K","1.65%"
"2018년 10월 01일","27.84","28.86","29.58","27.46","735.40K","-3.33%"
