"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","26.95","26.59","27.15","26.50","818.06K","0.73%"
"2019년 12월 30일","26.75","27.29","27.55","26.37","967.22K","-1.71%"
"2019년 12월 27일","27.22","27.72","27.90","26.75","824.12K","-1.02%"
"2019년 12월 26일","27.50","27.03","27.94","26.77","594.33K","1.63%"
"2019년 12월 24일","27.06","26.67","27.19","26.51","576.39K","1.81%"
"2019년 12월 23일","26.58","25.48","26.62","25.12","786.37K","6.53%"
"2019년 12월 20일","24.95","25.50","26.04","24.81","3.04M","-1.73%"
"2019년 12월 19일","25.39","25.25","25.94","25.02","1.14M","1.24%"
"2019년 12월 18일","25.08","25.08","26.12","24.95","1.41M","0.00%"
"2019년 12월 17일","25.08","23.97","28.44","23.92","5.24M","26.92%"
"2019년 12월 16일","19.76","17.75","20.22","17.72","2.15M","11.01%"
"2019년 12월 13일","17.80","18.34","19.29","17.61","1.49M","-2.84%"
"2019년 12월 12일","18.32","17.48","18.39","17.40","735.75K","4.75%"
"2019년 12월 11일","17.49","17.83","18.02","17.34","722.15K","-2.13%"
"2019년 12월 10일","17.87","18.12","18.30","17.67","694.08K","-1.71%"
"2019년 12월 09일","18.18","18.83","19.28","18.09","595.49K","-4.27%"
"2019년 12월 06일","18.99","17.84","19.06","17.73","805.98K","7.23%"
"2019년 12월 05일","17.71","18.98","19.04","17.68","537.69K","-6.10%"
"2019년 12월 04일","18.86","18.32","19.08","18.28","1.28M","3.80%"
"2019년 12월 03일","18.17","17.73","18.24","17.36","1.10M","5.30%"
"2019년 12월 02일","17.25","17.21","17.46","16.87","594.51K","1.14%"
"2019년 11월 29일","17.06","17.22","17.33","16.97","200.71K","-1.39%"
"2019년 11월 27일","17.30","16.97","17.30","16.77","457.71K","2.25%"
"2019년 11월 26일","16.92","17.20","17.25","16.89","836.01K","-1.60%"
"2019년 11월 25일","17.19","16.76","17.28","16.61","532.72K","2.41%"
"2019년 11월 22일","16.79","17.24","17.32","16.71","296.35K","-1.98%"
"2019년 11월 21일","17.13","17.04","17.41","16.76","543.78K","1.48%"
"2019년 11월 20일","16.88","16.93","17.15","16.70","590.93K","-1.26%"
"2019년 11월 19일","17.09","17.12","17.69","16.92","522.18K","-0.38%"
"2019년 11월 18일","17.16","17.14","17.41","16.96","376.00K","-0.64%"
"2019년 11월 15일","17.27","16.96","17.30","16.71","455.74K","2.68%"
"2019년 11월 14일","16.82","17.38","17.38","16.75","619.95K","-2.97%"
"2019년 11월 13일","17.33","17.26","17.58","16.92","486.28K","-0.37%"
"2019년 11월 12일","17.40","17.44","17.85","17.29","462.76K","-0.34%"
"2019년 11월 11일","17.46","16.53","17.52","16.53","380.56K","2.59%"
"2019년 11월 08일","17.02","17.04","17.41","16.78","449.10K","0.15%"
"2019년 11월 07일","17.00","17.36","18.30","16.87","1.02M","-1.71%"
"2019년 11월 06일","17.29","16.51","18.48","16.25","1.09M","0.58%"
"2019년 11월 05일","17.19","16.80","17.38","16.72","730.62K","3.12%"
"2019년 11월 04일","16.67","16.70","17.04","16.62","806.22K","0.60%"
"2019년 11월 01일","16.57","16.43","16.85","16.25","632.67K","1.41%"
"2019년 10월 31일","16.34","16.36","16.49","15.91","428.40K","-0.37%"
