"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 05월 28일","61.07","60.88","62.21","60.03","573.33K","-0.33%"
"2021년 05월 27일","61.27","60.81","61.81","59.64","590.65K","1.49%"
"2021년 05월 26일","60.37","58.78","60.51","58.66","581.66K","3.66%"
"2021년 05월 25일","58.24","60.81","61.65","58.16","784.76K","-3.83%"
"2021년 05월 24일","60.56","58.22","62.07","58.12","925.25K","5.05%"
"2021년 05월 21일","57.65","58.75","61.38","57.52","1.55M","0.33%"
"2021년 05월 20일","57.46","64.68","64.73","56.05","2.83M","-11.82%"
"2021년 05월 19일","65.16","63.61","66.25","63.12","1.01M","-1.11%"
"2021년 05월 18일","65.89","63.00","66.62","62.44","1.25M","4.47%"
"2021년 05월 17일","63.07","60.53","63.21","60.53","630.66K","-0.16%"
"2021년 05월 14일","63.17","58.70","63.21","58.46","956.10K","9.06%"
"2021년 05월 13일","57.92","55.90","58.09","55.90","1.31M","3.89%"
"2021년 05월 12일","55.75","54.40","56.27","54.22","834.65K","-0.07%"
"2021년 05월 11일","55.79","53.72","56.42","53.00","739.52K","-1.26%"
"2021년 05월 10일","56.50","60.67","61.17","56.37","885.11K","-6.67%"
"2021년 05월 07일","60.54","58.94","60.65","57.71","757.62K","1.90%"
"2021년 05월 06일","59.41","57.01","59.48","56.15","902.30K","3.38%"
"2021년 05월 05일","57.47","59.05","59.87","56.14","1.35M","-2.92%"
"2021년 05월 04일","59.20","58.42","60.66","56.30","2.45M","12.65%"
"2021년 05월 03일","52.55","55.07","55.45","51.03","2.08M","-5.35%"
"2021년 04월 30일","55.52","55.46","57.19","54.64","1.01M","0.09%"
"2021년 04월 29일","55.47","58.54","59.26","55.01","1.16M","-4.48%"
"2021년 04월 28일","58.07","58.80","59.59","57.78","873.38K","-1.69%"
"2021년 04월 27일","59.07","61.06","61.06","57.99","1.26M","-2.07%"
"2021년 04월 26일","60.32","59.00","60.50","58.01","1.07M","2.86%"
"2021년 04월 23일","58.64","58.23","59.90","56.68","901.49K","1.75%"
"2021년 04월 22일","57.63","60.77","60.88","56.57","1.45M","-4.13%"
"2021년 04월 21일","60.11","58.50","60.18","57.18","1.25M","2.09%"
"2021년 04월 20일","58.88","61.34","61.86","58.00","1.96M","-4.74%"
"2021년 04월 19일","61.81","64.46","65.85","59.81","1.83M","-4.67%"
"2021년 04월 16일","64.84","60.99","64.99","60.11","4.50M","6.86%"
"2021년 04월 15일","60.68","63.80","64.44","58.62","1.69M","-4.83%"
"2021년 04월 14일","63.76","61.54","65.02","61.43","2.03M","3.83%"
"2021년 04월 13일","61.41","60.16","61.67","57.16","2.19M","0.89%"
