"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015년 12월 31일","9.29","9.09","9.42","9.09","296.44K","0.43%"
"2015년 12월 30일","9.25","9.36","9.45","9.21","266.30K","-1.91%"
"2015년 12월 29일","9.43","9.29","9.45","9.20","245.80K","2.50%"
"2015년 12월 28일","9.20","9.32","9.44","8.99","437.39K","-2.23%"
"2015년 12월 24일","9.41","9.22","9.47","9.06","130.54K","2.06%"
"2015년 12월 23일","9.22","9.26","9.45","9.05","310.00K","-0.43%"
"2015년 12월 22일","9.26","9.17","9.49","9.07","421.85K","1.54%"
"2015년 12월 21일","9.12","8.66","9.28","8.48","474.23K","5.56%"
"2015년 12월 18일","8.64","8.61","8.75","8.39","664.00K","0.35%"
"2015년 12월 17일","8.61","9.02","9.02","8.59","445.57K","-3.04%"
"2015년 12월 16일","8.88","8.55","9.02","8.53","431.32K","4.96%"
"2015년 12월 15일","8.46","8.38","8.55","8.20","264.52K","2.30%"
"2015년 12월 14일","8.27","8.37","8.50","8.16","298.19K","-1.31%"
"2015년 12월 11일","8.38","8.46","8.61","8.27","364.77K","-3.57%"
"2015년 12월 10일","8.69","8.61","8.79","8.51","182.60K","0.70%"
"2015년 12월 09일","8.63","8.25","8.71","8.24","300.71K","3.85%"
"2015년 12월 08일","8.31","8.21","8.53","8.10","372.20K","-0.36%"
"2015년 12월 07일","8.34","8.79","8.89","8.20","460.23K","-6.19%"
"2015년 12월 04일","8.89","8.70","9.00","8.52","403.10K","1.95%"
"2015년 12월 03일","8.72","8.76","9.02","8.55","523.55K","-0.11%"
"2015년 12월 02일","8.73","8.86","8.94","8.65","212.90K","-1.69%"
"2015년 12월 01일","8.88","9.05","9.29","8.85","734.73K","-1.44%"
"2015년 11월 30일","9.01","8.50","9.16","8.34","720.67K","6.50%"
"2015년 11월 27일","8.46","8.38","8.46","8.26","154.91K","0.48%"
"2015년 11월 25일","8.42","7.94","8.45","7.94","244.97K","5.38%"
"2015년 11월 24일","7.99","7.86","8.00","7.64","291.45K","1.27%"
"2015년 11월 23일","7.89","7.94","8.05","7.78","355.46K","-0.25%"
"2015년 11월 20일","7.91","7.78","7.98","7.69","232.68K","2.33%"
"2015년 11월 19일","7.73","7.76","7.78","7.65","164.10K","-0.26%"
"2015년 11월 18일","7.75","7.51","7.80","7.32","282.40K","4.03%"
"2015년 11월 17일","7.45","7.64","7.69","7.39","189.11K","-2.74%"
"2015년 11월 16일","7.66","7.68","7.69","7.43","185.85K","0.00%"
"2015년 11월 13일","7.66","7.27","7.77","7.27","294.51K","4.50%"
"2015년 11월 12일","7.33","7.69","7.73","7.27","399.14K","-6.62%"
"2015년 11월 11일","7.85","7.97","8.00","7.66","214.80K","-1.13%"
"2015년 11월 10일","7.94","7.83","8.01","7.68","263.96K","0.89%"
"2015년 11월 09일","7.87","8.19","8.23","7.84","177.92K","-3.91%"
"2015년 11월 06일","8.19","8.13","8.25","7.82","170.04K","0.12%"
"2015년 11월 05일","8.18","8.22","8.27","8.10","165.91K","-0.37%"
"2015년 11월 04일","8.21","7.33","8.28","7.06","472.57K","1.36%"
"2015년 11월 03일","8.10","7.98","8.25","7.98","233.84K","0.75%"
"2015년 11월 02일","8.04","7.88","8.10","7.76","218.60K","1.90%"
"2015년 10월 30일","7.89","7.94","8.02","7.72","173.86K","-0.38%"
"2015년 10월 29일","7.92","7.91","8.03","7.46","167.31K","-0.63%"
"2015년 10월 28일","7.97","7.63","7.98","7.62","358.16K","4.59%"
"2015년 10월 27일","7.62","7.48","7.64","7.37","268.77K","2.01%"
"2015년 10월 26일","7.47","7.56","7.69","7.46","168.78K","-1.84%"
"2015년 10월 23일","7.61","7.70","7.83","7.53","199.47K","-0.78%"
"2015년 10월 22일","7.67","7.66","7.75","7.44","329.16K","0.39%"
"2015년 10월 21일","7.64","8.05","8.14","7.61","345.78K","-5.21%"
"2015년 10월 20일","8.06","7.85","8.09","7.80","241.54K","3.07%"
"2015년 10월 19일","7.82","7.69","7.91","7.57","250.66K","1.43%"
"2015년 10월 16일","7.71","7.75","7.87","7.50","332.85K","-0.13%"
"2015년 10월 15일","7.72","8.36","8.36","7.69","770.70K","-8.85%"
"2015년 10월 14일","8.47","8.75","8.75","7.79","551.37K","-7.03%"
"2015년 10월 13일","9.11","9.17","9.31","9.00","222.37K","-1.19%"
"2015년 10월 12일","9.22","9.47","9.47","9.06","177.39K","-2.33%"
"2015년 10월 09일","9.44","9.53","9.53","9.25","146.83K","-0.21%"
"2015년 10월 08일","9.46","9.35","9.70","9.22","256.94K","0.53%"
"2015년 10월 07일","9.41","9.52","9.76","9.17","306.12K","-0.11%"
"2015년 10월 06일","9.42","8.89","9.50","8.89","351.71K","4.78%"
"2015년 10월 05일","8.99","8.80","9.18","8.79","420.86K","3.45%"
"2015년 10월 02일","8.69","8.20","8.71","8.10","232.70K","5.72%"
"2015년 10월 01일","8.22","8.35","8.47","8.15","186.16K","-0.72%"
"2015년 09월 30일","8.28","8.01","8.28","8.01","251.08K","3.50%"
"2015년 09월 29일","8.00","8.34","8.43","7.96","321.45K","-3.73%"
"2015년 09월 28일","8.31","8.43","8.60","8.08","354.01K","-3.15%"
"2015년 09월 25일","8.58","8.63","8.63","8.40","637.71K","0.35%"
"2015년 09월 24일","8.55","8.06","8.76","8.06","518.42K","5.04%"
"2015년 09월 23일","8.14","7.82","8.17","7.80","360.35K","4.49%"
"2015년 09월 22일","7.79","7.97","8.05","7.74","184.52K","-3.11%"
"2015년 09월 21일","8.04","8.09","8.15","7.99","251.87K","0.37%"
"2015년 09월 18일","8.01","7.82","8.01","7.79","319.89K","0.88%"
"2015년 09월 17일","7.94","8.08","8.08","7.90","293.43K","-1.37%"
"2015년 09월 16일","8.05","7.82","8.13","7.82","199.89K","3.21%"
"2015년 09월 15일","7.80","7.70","7.89","7.61","302.83K","1.96%"
"2015년 09월 14일","7.65","7.83","7.96","7.59","310.86K","-2.17%"
"2015년 09월 11일","7.82","8.38","8.42","7.80","447.63K","-7.46%"
"2015년 09월 10일","8.45","8.42","8.60","8.36","230.73K","-0.12%"
"2015년 09월 09일","8.46","8.55","8.75","8.41","207.19K","-0.47%"
"2015년 09월 08일","8.50","8.50","8.65","8.41","366.77K","2.41%"
"2015년 09월 04일","8.30","8.30","8.44","8.13","378.64K","-2.47%"
"2015년 09월 03일","8.51","8.51","8.68","8.29","404.55K","0.71%"
"2015년 09월 02일","8.45","8.40","8.46","8.12","543.52K","1.56%"
"2015년 09월 01일","8.32","8.24","8.66","8.01","468.27K","-1.19%"
"2015년 08월 31일","8.42","8.42","8.77","8.27","673.46K","-0.36%"
"2015년 08월 28일","8.45","7.88","8.47","7.87","702.63K","7.23%"
"2015년 08월 27일","7.88","7.43","7.91","7.42","579.89K","7.95%"
"2015년 08월 26일","7.30","7.84","7.84","7.25","1.31M","-4.82%"
"2015년 08월 25일","7.67","8.34","8.95","7.66","561.17K","-5.54%"
"2015년 08월 24일","8.12","8.43","8.62","8.07","783.43K","-7.31%"
"2015년 08월 21일","8.76","8.88","9.04","8.69","560.71K","-3.20%"
"2015년 08월 20일","9.05","9.17","9.28","9.01","384.65K","-0.98%"
"2015년 08월 19일","9.14","9.25","9.40","9.00","317.45K","-1.93%"
"2015년 08월 18일","9.32","9.63","9.68","9.24","268.66K","-3.32%"
"2015년 08월 17일","9.64","9.59","9.82","9.46","312.18K","-0.62%"
"2015년 08월 14일","9.70","9.71","9.88","9.46","304.35K","-0.10%"
"2015년 08월 13일","9.71","9.86","9.96","9.64","355.38K","-1.92%"
"2015년 08월 12일","9.90","9.86","9.99","9.65","403.25K","1.54%"
"2015년 08월 11일","9.75","9.96","10.00","9.64","273.72K","-2.79%"
"2015년 08월 10일","10.03","9.78","10.07","9.69","526.43K","2.66%"
"2015년 08월 07일","9.77","9.90","10.01","9.71","343.05K","-2.01%"
"2015년 08월 06일","9.97","9.96","10.06","9.74","261.19K","-0.30%"
"2015년 08월 05일","10.00","11.18","11.18","9.91","712.33K","-1.38%"
"2015년 08월 04일","10.14","10.24","10.47","9.97","295.33K","-0.59%"
"2015년 08월 03일","10.20","10.20","10.26","10.05","345.75K","0.00%"
"2015년 07월 31일","10.20","10.35","10.44","10.10","483.86K","-1.45%"
"2015년 07월 30일","10.35","10.36","10.42","10.30","188.59K","-0.67%"
"2015년 07월 29일","10.42","10.73","10.75","10.28","261.34K","0.29%"
"2015년 07월 28일","10.39","10.28","10.49","10.11","236.19K","1.07%"
"2015년 07월 27일","10.28","10.22","10.48","9.82","307.29K","-0.29%"
"2015년 07월 24일","10.31","10.61","10.61","10.24","251.87K","-3.01%"
"2015년 07월 23일","10.63","10.77","10.83","10.50","314.97K","-1.21%"
"2015년 07월 22일","10.76","10.62","10.95","10.61","268.63K","1.03%"
"2015년 07월 21일","10.65","10.92","11.08","10.64","267.36K","-2.65%"
"2015년 07월 20일","10.94","10.99","11.01","10.82","279.76K","-0.64%"
"2015년 07월 17일","11.01","11.08","11.13","10.90","186.24K","0.27%"
"2015년 07월 16일","10.98","11.03","11.18","10.94","361.00K","-0.27%"
"2015년 07월 15일","11.01","11.22","11.44","10.93","308.67K","-2.74%"
"2015년 07월 14일","11.32","11.54","11.54","11.28","253.97K","-1.82%"
"2015년 07월 13일","11.53","11.30","11.56","11.17","425.11K","1.95%"
"2015년 07월 10일","11.31","11.16","11.40","11.16","221.66K","0.71%"
"2015년 07월 09일","11.23","11.34","11.56","11.08","419.08K","-0.18%"
"2015년 07월 08일","11.25","11.56","11.64","11.16","509.26K","-3.35%"
"2015년 07월 07일","11.64","11.81","11.85","11.50","355.86K","-2.02%"
"2015년 07월 06일","11.88","11.70","11.96","11.55","438.53K","0.34%"
"2015년 07월 02일","11.84","11.74","11.92","11.67","325.87K","0.94%"
"2015년 07월 01일","11.73","11.73","11.96","11.54","577.40K","1.47%"
"2015년 06월 30일","11.56","11.55","11.60","11.29","368.61K","0.87%"
"2015년 06월 29일","11.46","11.49","11.74","11.41","404.29K","-2.05%"
"2015년 06월 26일","11.70","11.91","11.99","11.65","1.32M","-2.42%"
"2015년 06월 25일","11.99","11.89","12.02","11.75","255.27K","0.93%"
"2015년 06월 24일","11.88","12.10","12.18","11.87","257.61K","-2.38%"
"2015년 06월 23일","12.17","11.93","12.29","11.87","533.53K","2.53%"
"2015년 06월 22일","11.87","11.81","11.95","11.72","622.98K","-0.17%"
"2015년 06월 19일","11.89","11.84","12.06","11.75","486.39K","0.51%"
"2015년 06월 18일","11.83","11.82","11.99","11.81","530.34K","-1.00%"
"2015년 06월 17일","11.95","12.32","12.32","11.91","442.17K","-2.53%"
"2015년 06월 16일","12.26","12.34","12.45","12.20","498.22K","-0.49%"
"2015년 06월 15일","12.32","12.34","12.44","12.12","769.14K","0.98%"
"2015년 06월 12일","12.20","12.34","12.51","12.20","303.43K","-1.13%"
"2015년 06월 11일","12.34","12.46","12.60","12.29","248.15K","-0.96%"
