,,21.12/31,21.09/30,21.06/30,21.03/31,20.12/31,20.09/30,20.06/30,20.03/31,19.12/31,19.09/30,19.06/30,19.03/31,18.12/31,18.09/30,18.06/30,18.03/31,17.12/31,17.09/30,17.06/30,17.03/31,16.12/31,16.09/30,16.06/30,16.03/31,15.12/31,15.09/30,15.06/30,15.03/31,14.12/31,14.09/30,14.06/30,14.03/31,13.12/31,13.09/30,13.06/30,13.03/31,12.12/31,12.09/30,12.06/30,12.03/31,초이스스탁US 프리미엄,프리미엄,무료
12,장기차입금,"5,245","6,438","7,871","9,053","9,607","10,607","10,460","10,726","11,634","11,313","11,234","9,788","9,404","9,673","9,513","8,764","9,418","9,585","7,127","7,166","5,978","2,455","2,657","2,527","2,068","2,028","2,050","1,954","1,877","1,862","1,847","1,602",599,88,588,399,411,420,401,344,,,
13,이연수익,"3,499","3,166","3,011","2,886","2,742","2,491","2,328","2,385","2,370","2,185","2,065","1,920","1,621","1,521","1,372","1,355","2,193","2,035","1,949","1,797","1,615","1,207","1,092","1,014",870,710,623,539,484,416,374,324,273,195,98,9,5,5,5,6,,,
14,이연세부채,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
15,기타부채,"9,265","8,929","8,114","7,356","7,134","6,253","5,936","5,432","5,913","5,652","5,867","5,444","5,636","5,606","5,682","5,846","7,271","6,814","6,604","6,228","5,483","3,681","3,141","2,598","2,171","1,702","1,346","1,134",853,656,539,420,403,210,171,76,76,57,58,58,,,
16,부채총계,"30,548","29,340","28,896","28,507","28,418","28,143","26,754","26,518","26,199","25,313","24,722","22,875","23,427","23,409","22,643","21,551","23,023","21,929","19,460","18,885","16,750","9,901","9,312","8,179","6,937","6,187","5,702","5,240","4,861","4,417","4,036","3,518","1,750","1,525","1,258",975,989,837,715,607,,,
17,이익잉여금,331,"-1,990","-3,608","-4,750","-5,399","-5,669","-6,000","-6,104","-6,083","-6,188","-6,332","-5,923","-5,318","-5,457","-5,769","-5,051","-4,974","-4,299","-3,680","-3,343","-2,997","-2,876","-2,898","-2,605","-2,322","-2,002","-1,772","-1,588","-1,434","-1,326","-1,251","-1,189","-1,140","-1,123","-1,085","-1,054","-1,066",-976,-865,-759,,,
18,기타포괄익,54,120,206,143,363,125,-40,-113,-36,-120,-6,-35,-8,8,19,83,33,21,11,-21,-24,25,34,14,-4,-24,-15,-16,0,0,0,0,0,0,0,0,0,0,0,0,,,
19,자본총계,"30,189","27,053","24,804","23,017","22,225","16,031","9,855","9,173","6,618","6,040","5,715","4,606","4,923","4,509","3,906","4,451","4,237","4,711","5,106","4,988","4,753","2,680","2,520",970,"1,084","1,315",716,826,912,958,952,912,667,564,629,169,125,-28,62,154,,,
0,영업활동,"11,497","9,931","9,184","8,024","5,943","4,349","2,705","2,605","2,405","2,215","2,850","1,856","2,098","1,373",-319,-390,-61,"-1,019",-295,56,-124,295,-332,-642,-524,-581,-406,-248,-57,163,293,259,265,96,-107,-136,-264,-269,-190,-148,,,
1,투자활동,"-7,868","-6,999","-6,183","-5,234","-3,132","-2,488","-1,935","-1,610","-1,436","-1,398","-1,473","-1,914","-2,337","-2,884","-3,568","-4,043","-4,196","-3,544","-2,567","-1,729","-1,081","-1,236","-1,372","-1,475","-1,674","-1,632","-1,519","-1,094",-990,-708,-494,-523,-249,-221,-207,-196,-207,-117,-231,-239,,,
2,재무활동,"-5,203","-1,254","4,577","6,249","9,973","7,202","2,870","4,890","1,529","1,496","1,294",-451,574,972,"3,158","3,188","4,415","5,502","3,079","4,627","3,744","2,596","3,811","2,053","1,524","1,310",450,513,"2,143","2,142","2,133","2,448",635,839,855,330,420,259,312,505,,,
3,환율변동,-183,13,141,137,334,114,17,-21,8,-10,-5,-28,-23,-15,-0.45,38,40,16,11,-8,-7,3,-11,-4,-34,-42,-49,-55,-36,-22,-3,-5,-7,-5,-5,-2,-2,0,0,0,,,
4,현금의증감,"-1,757","1,691","7,719","9,176","13,118","9,177","3,657","5,864","2,506","2,303","2,666",-537,312,-554,-730,"-1,206",198,955,229,"2,946","2,533","1,658","2,096",-68,-709,-963,"-1,524",-884,"1,060","1,591","1,926","2,179",644,712,538,-4,-53,-128,-109,118,,,
5,자본적지출,"-6,514","-5,864","-5,060","-4,111","-3,232","-2,517","-1,906","-1,608","-1,432","-1,337","-1,486","-1,895","-2,319","-2,871","-3,556","-4,037","-4,081","-3,856","-2,859","-1,996","-1,440","-1,170","-1,315","-1,426","-1,635","-1,592","-1,484","-1,255",-970,-691,-483,-348,-264,-239,-225,-242,-239,-216,-222,-219,,,
6,잉여현금,"4,983","4,067","4,124","3,913","2,711","1,832",799,997,973,878,"1,364",-39,-221,"-1,498","-3,875","-4,427","-4,142","-4,875","-3,154","-1,940","-1,564",-876,"-1,648","-2,068","-2,159","-2,173","-1,890","-1,502","-1,027",-528,-190,-88,0.58,-143,-332,-379,-503,-485,-412,-367,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한글로 쉽고 편리한 종목검색,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,투자매력/적정주가 종목진단,,항목제한
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,엄선된 종목추천/포트폴리오,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,투자매력+저평가+수급 승부주,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,취향저격 종목추천 종목캐치,,항목제한
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,나만의 관심종목/원스톱진단,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종목발굴 투자레시피/종목노트,,항목제한
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,관심/추천/업데이트 알림,,
