,date,li_price
245,2015-12-30,104.0
246,2015-12-31,104.0
247,2016-01-04,104.0
248,2016-01-05,104.0
249,2016-01-06,104.0
250,2016-01-07,104.0
251,2016-01-08,104.0
252,2016-01-11,104.0
253,2016-01-12,104.0
254,2016-01-13,104.0
255,2016-01-14,104.0
256,2016-01-15,104.0
257,2016-01-18,104.0
258,2016-01-19,104.0
259,2016-01-20,114.0
260,2016-01-21,124.0
261,2016-01-22,126.0
262,2016-01-25,126.0
263,2016-01-26,126.0
264,2016-01-27,126.0
265,2016-01-28,126.0
266,2016-01-29,126.0
267,2016-02-01,126.0
268,2016-02-02,126.0
269,2016-02-03,126.0
270,2016-02-04,126.0
271,2016-02-05,126.0
272,2016-02-12,126.0
273,2016-02-15,126.0
274,2016-02-16,126.0
275,2016-02-17,126.0
276,2016-02-18,131.0
277,2016-02-19,134.0
278,2016-02-22,134.0
279,2016-02-23,137.0
280,2016-02-24,140.0
281,2016-02-25,140.0
282,2016-02-26,140.0
283,2016-02-29,140.0
284,2016-03-01,141.0
285,2016-03-02,141.0
286,2016-03-03,141.0
287,2016-03-04,141.0
288,2016-03-07,143.0
289,2016-03-08,143.0
290,2016-03-09,143.0
291,2016-03-10,143.0
292,2016-03-11,143.0
293,2016-03-14,143.0
294,2016-03-15,143.0
295,2016-03-16,143.0
296,2016-03-17,143.0
297,2016-03-18,143.0
298,2016-03-21,143.0
299,2016-03-22,143.0
300,2016-03-23,143.0
301,2016-03-24,143.0
302,2016-03-25,143.0
303,2016-03-28,143.0
304,2016-03-29,143.0
305,2016-03-30,143.0
306,2016-03-31,143.0
307,2016-04-01,143.0
308,2016-04-04,143.0
309,2016-04-05,143.0
310,2016-04-06,143.0
311,2016-04-07,143.0
312,2016-04-08,143.0
313,2016-04-11,143.0
314,2016-04-12,143.0
315,2016-04-13,143.0
316,2016-04-14,143.0
317,2016-04-15,143.0
318,2016-04-18,139.0
319,2016-04-19,139.0
320,2016-04-20,139.0
321,2016-04-21,139.0
322,2016-04-22,139.0
323,2016-04-25,139.0
324,2016-04-26,139.0
325,2016-04-27,139.0
326,2016-04-28,139.0
327,2016-04-29,139.0
328,2016-05-02,139.0
329,2016-05-03,139.0
330,2016-05-05,139.0
331,2016-05-06,139.0
332,2016-05-09,139.0
333,2016-05-10,139.0
334,2016-05-11,139.0
335,2016-05-12,142.0
336,2016-05-13,142.0
337,2016-05-16,142.0
338,2016-05-17,142.0
339,2016-05-18,134.0
340,2016-05-19,134.0
341,2016-05-20,134.0
342,2016-05-24,134.0
343,2016-05-25,134.0
344,2016-05-26,134.0
345,2016-05-27,134.0
346,2016-05-30,134.0
347,2016-05-31,134.0
348,2016-06-01,134.0
349,2016-06-02,134.0
350,2016-06-03,134.0
351,2016-06-06,134.0
352,2016-06-07,134.0
353,2016-06-08,134.0
354,2016-06-12,134.0
355,2016-06-13,134.0
356,2016-06-14,134.0
357,2016-06-15,134.0
358,2016-06-16,134.0
359,2016-06-17,134.0
360,2016-06-20,134.0
361,2016-06-21,134.0
