iter	Passed	Remaining
424	1920	2598
425	1924	2593
426	1928	2587
427	1932	2582
428	1936	2577
429	1940	2572
430	1944	2567
431	1948	2562
432	1953	2557
433	1957	2552
434	1961	2547
435	1965	2542
436	1970	2539
437	1975	2534
438	1979	2529
439	1984	2525
440	1989	2521
441	1993	2516
442	1997	2511
443	2001	2506
444	2005	2501
445	2009	2496
446	2014	2491
447	2018	2486
448	2022	2481
449	2026	2476
450	2030	2471
451	2034	2466
452	2038	2461
453	2042	2456
454	2047	2451
455	2051	2446
456	2055	2442
457	2059	2436
458	2063	2432
459	2067	2426
460	2071	2422
461	2075	2417
462	2080	2412
463	2084	2407
464	2088	2402
465	2092	2397
466	2096	2392
467	2100	2387
468	2104	2382
469	2108	2377
470	2112	2372
471	2116	2367
472	2120	2363
473	2125	2358
474	2129	2353
475	2133	2348
476	2137	2343
477	2141	2338
478	2145	2333
479	2150	2329
480	2154	2325
481	2159	2320
482	2164	2316
483	2169	2312
484	2173	2308
485	2178	2303
486	2182	2299
487	2186	2294
488	2191	2290
489	2195	2285
490	2200	2280
491	2204	2276
492	2209	2272
493	2214	2268
494	2218	2263
495	2224	2259
496	2228	2255
497	2233	2251
498	2237	2246
499	2242	2242
500	2246	2238
501	2251	2233
502	2256	2230
503	2261	2226
504	2266	2221
505	2271	2217
506	2275	2212
507	2280	2208
508	2284	2203
509	2289	2199
510	2294	2195
511	2298	2190
512	2303	2186
513	2308	2182
514	2312	2178
515	2317	2173
516	2322	2169
517	2326	2165
518	2331	2160
519	2336	2156
520	2341	2152
521	2345	2148
522	2350	2143
523	2355	2139
524	2360	2135
525	2364	2131
526	2369	2126
527	2374	2122
528	2378	2117
529	2382	2113
530	2387	2108
531	2391	2103
532	2395	2098
533	2400	2094
534	2404	2089
535	2408	2084
536	2412	2080
537	2417	2075
538	2421	2071
539	2425	2066
540	2430	2061
541	2434	2057
542	2439	2052
543	2443	2048
544	2448	2044
545	2453	2039
546	2458	2035
547	2462	2031
548	2467	2026
549	2471	2022
550	2476	2017
551	2481	2013
552	2485	2009
553	2490	2004
554	2495	2000
555	2499	1995
556	2503	1991
557	2508	1987
558	2513	1983
559	2518	1978
560	2522	1974
561	2528	1970
562	2533	1966
563	2537	1961
564	2542	1957
565	2547	1953
566	2551	1948
567	2555	1943
568	2560	1939
569	2565	1935
570	2569	1930
571	2574	1926
572	2579	1921
573	2583	1917
574	2587	1912
575	2592	1908
576	2597	1904
577	2601	1899
578	2606	1895
579	2610	1890
580	2615	1886
581	2619	1881
582	2624	1877
583	2628	1872
584	2632	1867
585	2636	1862
586	2641	1858
587	2645	1853
588	2649	1848
589	2654	1844
590	2659	1840
591	2663	1835
592	2668	1831
593	2672	1826
594	2676	1822
595	2680	1817
596	2685	1812
597	2690	1808
598	2694	1803
599	2698	1799
600	2703	1794
601	2707	1790
602	2712	1785
603	2717	1781
604	2722	1777
605	2726	1772
606	2730	1768
607	2735	1763
608	2739	1759
609	2744	1754
610	2748	1749
611	2752	1745
612	2757	1740
613	2761	1735
614	2765	1731
615	2770	1726
616	2774	1722
617	2778	1717
618	2783	1713
619	2787	1708
620	2792	1704
621	2796	1699
622	2800	1694
623	2804	1690
624	2809	1685
625	2813	1680
626	2817	1676
627	2822	1671
628	2826	1666
629	2830	1662
630	2834	1657
631	2839	1653
632	2843	1648
633	2847	1644
634	2851	1639
635	2856	1634
636	2860	1630
637	2864	1625
638	2869	1621
639	2873	1616
640	2878	1611
641	2882	1607
642	2887	1602
643	2891	1598
644	2896	1594
645	2900	1589
646	2905	1585
647	2909	1580
