iter	RMSE
208	13.05482873
209	12.98388894
210	12.95421215
211	12.85274969
212	12.82249243
213	12.76021372
214	12.72567934
215	12.6757245
216	12.62277189
217	12.5752832
218	12.53760565
219	12.46343209
220	12.42007863
221	12.33422819
222	12.26849079
223	12.24373047
224	12.1975873
225	12.15303913
226	12.0987706
227	12.04671125
228	12.02244806
229	11.97319534
230	11.92210784
231	11.86628829
232	11.83249858
233	11.8085801
234	11.74845824
235	11.687748
236	11.6407524
237	11.5827755
238	11.52669361
239	11.47647611
240	11.41167773
241	11.3923575
242	11.35993458
243	11.3519178
244	11.2802696
245	11.22093694
246	11.18865893
247	11.12044087
248	11.10554707
249	11.05368759
250	11.02489828
251	10.97543713
252	10.95581852
253	10.92774719
254	10.89243185
255	10.86355638
256	10.83287196
257	10.80254161
258	10.75786214
259	10.73911507
260	10.71730229
261	10.69293872
262	10.64494079
263	10.63162883
264	10.59180184
265	10.58379653
266	10.57704391
267	10.53157157
268	10.50906203
269	10.47404998
270	10.41263934
271	10.37249312
272	10.33379028
273	10.28253422
274	10.2408388
275	10.23430899
276	10.17886837
277	10.17106189
278	10.14365419
279	10.09544437
280	10.06129245
281	10.05498207
282	10.02719445
283	9.967639726
284	9.94290797
285	9.890699825
286	9.865752926
287	9.818548649
288	9.771285071
289	9.765210628
290	9.730978789
291	9.676834399
292	9.648621174
293	9.630352458
294	9.589203752
295	9.550260557
296	9.511871342
297	9.499149718
298	9.479300469
299	9.473086663
300	9.461599926
301	9.425274551
302	9.40523407
303	9.373504711
304	9.341695607
305	9.311535712
306	9.273929176
307	9.24423388
308	9.221796203
309	9.201417896
310	9.147530106
311	9.104911178
312	9.068477155
313	9.024097442
314	8.981628027
315	8.957953391
316	8.929998582
317	8.915315346
318	8.87699683
319	8.828723687
320	8.783217603
321	8.747825277
322	8.72322288
323	8.694240214
324	8.655731537
325	8.628369123
326	8.606821264
327	8.578709934
328	8.547856772
329	8.540931831
330	8.51920412
331	8.490863085
332	8.461925709
333	8.449791431
334	8.43114558
335	8.391579759
336	8.359314143
337	8.339414583
338	8.309180727
339	8.262842108
340	8.227586463
341	8.221586776
342	8.187214994
343	8.157820893
344	8.129493425
345	8.091729844
346	8.064259863
347	8.034883358
348	8.015655134
349	7.992671787
350	7.967036825
351	7.939455463
352	7.914058913
353	7.89237652
354	7.885733602
355	7.854027429
356	7.837432744
357	7.799241056
358	7.771938433
359	7.745003077
360	7.719346244
361	7.694959862
362	7.666551963
363	7.639829756
364	7.605130048
365	7.57993683
366	7.568520877
367	7.557333656
368	7.534644124
369	7.513494999
370	7.482125229
371	7.474283134
372	7.461096128
373	7.431482967
374	7.402314352
375	7.392042113
376	7.387643437
377	7.368396062
378	7.341284444
379	7.329277735
380	7.324553156
381	7.319690798
382	7.315644721
383	7.295122522
384	7.29047636
385	7.285218603
386	7.254108446
387	7.224067471
388	7.195902947
389	7.167219065
390	7.16280007
391	7.132153161
392	7.111824868
393	7.104844959
394	7.08978871
395	7.068145742
396	7.045194823
397	7.003815996
398	6.985174834
399	6.956995224
400	6.934838592
401	6.922197867
402	6.917798801
403	6.904153669
404	6.889969099
405	6.879118238
406	6.853131337
407	6.831829955
408	6.804995611
409	6.790382132
410	6.763444706
411	6.74337321
412	6.736976911
413	6.711637322
414	6.696918558
415	6.674660947
416	6.646774775
417	6.623221559
418	6.600643353
419	6.577568938
420	6.57235411
421	6.544368478
422	6.54063021
423	6.515682797
424	6.491577566
425	6.488013133
426	6.464696948
427	6.44242185
428	6.421424992
429	6.399073943
430	6.36543929
431	6.358473132
432	6.335026342
433	6.31995919
434	6.301954646
435	6.280272154
436	6.266759266
437	6.253075713
438	6.229839753
439	6.220840249
440	6.196860629
441	6.192870346
442	6.16612305
443	6.135488894
444	6.127225433
445	6.10939483
446	6.076037253
447	6.05524053
448	6.027987152
449	6.024840178
450	6.001052243
451	5.986317097
452	5.964668163
453	5.942401098
454	5.924136658
455	5.896818683
456	5.877699261
457	5.874552367
458	5.862166186
459	5.848003062
460	5.845084605
461	5.823952611
462	5.798698246
463	5.764051599
464	5.74451756
465	5.730260999
466	5.705123404
467	5.682149945
468	5.664240245
469	5.645894615
470	5.638676053
471	5.629882245
472	5.615293946
473	5.609197437
474	5.585692192
475	5.582491646
476	5.56513899
477	5.546083564
478	5.52339311
479	5.518125826
480	5.514371003
481	5.488944572
482	5.471634046
483	5.463308247
484	5.441191073
485	5.420286197
486	5.417294677
487	5.413307695
488	5.401376717
489	5.384326884
490	5.380218373
491	5.376813995
492	5.369785663
493	5.355198447
494	5.351406309
495	5.33753012
496	5.32205481
497	5.299676264
498	5.285333331
499	5.266751259
500	5.247234216
501	5.236950139
502	5.23451742
503	5.210282614
504	5.195211184
505	5.185584472
506	5.183141638
507	5.169050294
508	5.15255277
509	5.135947378
510	5.113119783
511	5.100355643
512	5.084682681
513	5.076928286
514	5.055071556
515	5.045412466
516	5.030909945
517	5.019582728
518	5.007428237
519	4.997588022
520	4.98699687
521	4.97487987
522	4.954492712
523	4.936528908
524	4.919435428
525	4.902771033
526	4.897799086
527	4.890934559
528	4.889567078
529	4.879061188
530	4.877736126
531	4.863024495
532	4.86011829
533	4.838881376
534	4.826182891
535	4.81629528
536	4.794536863
537	4.774422773
538	4.766135384
539	4.761109238
540	4.749935177
541	4.741917994
542	4.722422186
543	4.707830937
544	4.706402549
545	4.692657956
546	4.684299412
547	4.659646982
548	4.64866833
549	4.642887623
550	4.641554745
551	4.628733123
552	4.615333101
553	4.604781378
554	4.594339239
555	4.582698609
556	4.565813665
557	4.550276443
558	4.538122995
559	4.536962273
560	4.526339423
561	4.515671175
562	4.501196489
563	4.492801755
564	4.481600952
565	4.475602465
566	4.471494932
567	4.462194774
568	4.452478205
569	4.439898825
570	4.425477765
571	4.409443178
572	4.408061176
573	4.401804421
574	4.38850541
575	4.38733966
576	4.369825626
577	4.362306115
578	4.348294894
579	4.331826224
580	4.31363875
581	4.299918402
582	4.28584968
583	4.272628735
584	4.260998104
585	4.250190047
586	4.237203813
587	4.236124432
588	4.218715685
589	4.209530434
590	4.203720543
591	4.183225186
592	4.171116933
593	4.155925661
594	4.141035682
595	4.134149374
596	4.119720092
597	4.103956586
598	4.100719025
599	4.087601349
600	4.077705368
601	4.068416477
602	4.054723681
603	4.045134806
604	4.043265508
605	4.031421434
606	4.02662332
607	4.013374162
608	4.000723386
609	3.995123683
610	3.989060048
611	3.979505231
612	3.966120209
613	3.963100972
614	3.956640648
615	3.934387386
616	3.921468373
617	3.910687865
618	3.90159405
619	3.892480145
620	3.883914288
621	3.877636307
622	3.869411897
623	3.85476961
624	3.845854215
625	3.835253027
626	3.82380379
627	3.816811679
628	3.803443506
629	3.789979841
630	3.78179978
631	3.775017463
632	3.763809291
633	3.749044743
634	3.737998982
635	3.728598191
636	3.717934673
637	3.711240969
638	3.695474708
639	3.686303901
640	3.682029092
641	3.673678197
642	3.665174295
643	3.655173511
644	3.651827308
645	3.633905511
646	3.622820868
647	3.6066777
648	3.600066647
649	3.588925276
650	3.587033535
651	3.585176395
652	3.570334471
653	3.558800738
654	3.553374644
655	3.542129101
656	3.534576616
657	3.53382003
658	3.526440818
659	3.522598874
660	3.520019677
661	3.516462282
662	3.498214057
663	3.489593518
664	3.479580187
665	3.470537056
666	3.461584855
667	3.453247911
668	3.440961965
669	3.427537655
670	3.416724685
671	3.404350148
672	3.390595618
673	3.381264544
674	3.378130456
675	3.369545245
676	3.356376471
677	3.344095477
678	3.332307757
679	3.318666702
680	3.302366292
681	3.299798566
682	3.289334095
683	3.280939615
684	3.272001835
685	3.259873451
686	3.245709646
687	3.232527792
688	3.225578055
689	3.224299515
690	3.220817384
691	3.219321589
692	3.20949373
693	3.202578147
694	3.192636973
695	3.183566567
696	3.171621089
697	3.161699497
698	3.159413672
699	3.146210812
700	3.141624227
701	3.14080153
702	3.129929304
703	3.122014614
704	3.112264413
705	3.098695759
706	3.091311627
707	3.09077612
708	3.081511949
709	3.078230451
710	3.072251704
711	3.065063895
712	3.062214423
713	3.053629886
714	3.043192423
715	3.033426598
716	3.026541429
717	3.014446752
718	3.013532303
719	3.001883117
720	3.001340755
721	2.989322551
722	2.985128023
723	2.977727094
724	2.968380849
725	2.959191166
726	2.946797969
727	2.937998865
728	2.933730738
729	2.927900561
730	2.918749374
731	2.907938815
732	2.90176051
733	2.8920676
734	2.884554128
735	2.874098283
736	2.866428011
737	2.860479727
738	2.858764397
739	2.846828081
740	2.840647779
741	2.838801764
742	2.832295031
743	2.830114964
744	2.820283233
745	2.811068261
746	2.806285745
747	2.796070313
748	2.789659512
749	2.784935977
750	2.776279906
751	2.772623383
752	2.771752363
753	2.770270762
754	2.769522471
755	2.758895603
756	2.752375455
757	2.746002319
758	2.736467269
759	2.728342719
760	2.718667005
761	2.713144563
762	2.702486928
763	2.699548357
764	2.692456564
765	2.680713357
766	2.672161437
767	2.661471282
768	2.651876162
769	2.648241555
770	2.640220488
771	2.633567924
772	2.625389904
773	2.617200146
774	2.613094246
775	2.605154083
776	2.604665949
777	2.60326897
778	2.602203946
779	2.592180315
780	2.582589102
781	2.574130085
782	2.567678472
783	2.562763335
784	2.554408644
785	2.541005949
786	2.532243067
787	2.525477907
788	2.524420271
789	2.519260553
790	2.509104726
791	2.499345648
792	2.498260373
793	2.493611731
794	2.483356884
795	2.475050934
796	2.471304506
797	2.468896396
798	2.466938292
799	2.455895141
800	2.445223393
801	2.439268134
802	2.434459043
803	2.427940222
804	2.425876966
805	2.415111579
806	2.414649719
807	2.403674312
808	2.397573509
809	2.389597786
810	2.382916175
811	2.374008231
812	2.368851127
813	2.365168275
814	2.355877089
815	2.349436892
816	2.340662496
817	2.337211939
818	2.332278337
819	2.324893142
820	2.322130772
821	2.314829755
822	2.311406951
823	2.30861741
824	2.305733508
825	2.304717622
826	2.301132764
827	2.292341109
828	2.286063361
829	2.280280838
830	2.273625204
831	2.266770768
832	2.26215734
833	2.258242923
834	2.251395842
835	2.243554633
836	2.23806587
837	2.232757497
838	2.223601145
839	2.221079859
840	2.220069432
841	2.211975221
842	2.210720261
843	2.207131186
844	2.201170939
845	2.194775502
846	2.192173054
847	2.18791405
848	2.187486527
849	2.178318546
850	2.172231788
851	2.163346017
852	2.156068892
853	2.155361246
854	2.149350264
855	2.148359129
856	2.141244179
857	2.138182007
858	2.137605896
859	2.130064657
860	2.123018911
861	2.122270446
862	2.118187879
863	2.109378517
864	2.106819301
865	2.100232299
866	2.093210822
867	2.086957318
868	2.080091057
869	2.073127105
870	2.069399426
871	2.068971989
872	2.063634726
873	2.056665588
874	2.056159106
875	2.050757169
876	2.04594953
877	2.04169818
878	2.037245506
879	2.034897482
880	2.028498904
881	2.028111833
882	2.019850388
883	2.01256682
884	2.010313914
885	2.009076076
886	2.002495178
887	1.999846342
888	1.994785542
889	1.994290079
890	1.993647704
891	1.991289851
892	1.988025569
893	1.983877462
894	1.9800514
895	1.973746596
896	1.967730084
897	1.962914776
898	1.962472591
899	1.958330186
900	1.954106608
901	1.950008754
902	1.949096119
903	1.948225037
904	1.947802541
905	1.941012128
906	1.9342374
907	1.92880333
908	1.925509135
909	1.925145892
910	1.919296385
911	1.913303104
912	1.905208231
913	1.897581623
914	1.893185707
915	1.892625563
916	1.888871047
917	1.886049001
918	1.878663912
919	1.872447305
920	1.868367684
921	1.868056527
922	1.865813269
923	1.861711563
924	1.858467394
925	1.853135193
926	1.847047853
927	1.83814188
928	1.833189035
929	1.828835214
930	1.822211286
931	1.819386538
932	1.815887417
933	1.809743725
934	1.809149988
935	1.802334772
936	1.801537897
937	1.797303714
938	1.793633152
939	1.790081601
940	1.784995599
941	1.780368204
942	1.773565076
943	1.767549812
944	1.762173169
945	1.761623669
946	1.759658049
947	1.754171029
948	1.745901581
949	1.739416101
950	1.736168205
951	1.735634332
952	1.730610286
953	1.728739226
954	1.723504273
955	1.723281543
956	1.716540513
957	1.712957364
958	1.711116151
959	1.704849717
960	1.7025905
961	1.701905476
962	1.701543125
963	1.69329681
964	1.68714881
965	1.681674274
966	1.676773876
967	1.676421341
968	1.675669341
969	1.671329471
970	1.670832367
971	1.670352701
972	1.664243437
973	1.66021922
974	1.654725656
975	1.649790987
976	1.644726111
977	1.640155543
978	1.63847437
979	1.638057403
980	1.634110335
981	1.62910891
982	1.623067885
983	1.622348262
984	1.616480169
985	1.614960724
986	1.609242359
987	1.608888031
988	1.601462044
989	1.597478178
990	1.595136491
991	1.588549343
992	1.585470262
993	1.582535483
994	1.577706611
995	1.572351649
996	1.572083232
997	1.566590485
998	1.562811038
999	1.559981881
