"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 06월 06일","41.19","40.89","42.20","40.36","101.21M","4.76%"
"2019년 06월 05일","39.32","39.74","40.26","38.37","67.55M","1.55%"
"2019년 06월 04일","38.72","36.22","38.80","35.92","69.04M","8.19%"
"2019년 06월 03일","35.79","37.10","37.34","35.40","65.32M","-3.35%"
"2019년 05월 31일","37.03","37.02","37.98","36.82","52.03M","-1.62%"
"2019년 05월 30일","37.64","37.75","38.45","37.40","39.63M","-0.87%"
"2019년 05월 29일","37.97","37.42","38.48","37.01","59.84M","0.61%"
"2019년 05월 28일","37.74","38.24","39.00","37.57","51.56M","-1.02%"
"2019년 05월 24일","38.13","39.97","40.00","37.75","70.68M","-2.48%"
"2019년 05월 23일","39.10","38.87","39.89","37.24","132.74M","1.43%"
"2019년 05월 22일","38.55","39.82","40.79","38.36","93.43M","-6.02%"
"2019년 05월 21일","41.02","39.55","41.48","39.21","90.02M","-0.12%"
"2019년 05월 20일","41.07","40.56","41.20","39.05","102.63M","-2.70%"
"2019년 05월 17일","42.21","44.39","44.45","41.78","88.93M","-7.58%"
"2019년 05월 16일","45.67","45.90","46.20","45.30","37.42M","-1.55%"
"2019년 05월 15일","46.39","45.86","46.49","45.05","36.48M","-0.15%"
"2019년 05월 14일","46.46","45.86","46.90","45.60","36.26M","2.33%"
"2019년 05월 13일","45.40","46.40","46.49","44.90","54.17M","-5.22%"
"2019년 05월 10일","47.90","47.95","48.40","47.20","35.04M","-1.03%"
"2019년 05월 09일","48.40","48.40","48.74","47.39","33.56M","-1.16%"
"2019년 05월 08일","48.97","49.39","50.12","48.84","30.88M","-0.89%"
"2019년 05월 07일","49.41","51.36","51.44","49.02","50.66M","-3.25%"
"2019년 05월 06일","51.07","50.00","51.67","49.70","54.17M","0.12%"
"2019년 05월 03일","51.01","48.77","51.32","48.70","118.53M","4.49%"
"2019년 05월 02일","48.82","49.10","49.43","47.54","90.80M","4.32%"
"2019년 05월 01일","46.80","47.77","48.00","46.30","53.52M","-1.97%"
"2019년 04월 30일","47.74","48.41","48.84","47.40","47.32M","-1.14%"
"2019년 04월 29일","48.29","47.17","48.80","46.43","83.57M","2.68%"
"2019년 04월 26일","47.03","49.30","49.34","46.23","111.80M","-5.05%"
"2019년 04월 25일","49.53","51.00","51.80","49.21","109.25M","-4.25%"
"2019년 04월 24일","51.73","52.77","53.06","51.60","53.64M","-1.99%"
"2019년 04월 23일","52.78","52.03","53.12","51.15","54.72M","0.44%"
"2019년 04월 22일","52.55","53.80","53.94","52.50","60.74M","-3.84%"
"2019년 04월 18일","54.65","54.25","54.97","53.95","29.38M","0.74%"
"2019년 04월 17일","54.25","54.95","54.96","53.71","25.63M","-0.77%"
"2019년 04월 16일","54.67","53.15","55.00","52.94","36.36M","2.61%"
"2019년 04월 15일","53.28","53.73","53.78","51.73","50.19M","-0.49%"
"2019년 04월 12일","53.54","54.04","54.39","53.37","33.73M","-0.26%"
"2019년 04월 11일","53.68","53.66","54.10","53.12","49.18M","-2.77%"
"2019년 04월 10일","55.21","55.35","55.68","54.58","35.31M","1.38%"
"2019년 04월 09일","54.46","54.33","55.00","53.92","29.52M","-0.33%"
"2019년 04월 08일","54.64","55.54","56.23","54.09","52.05M","-0.64%"
"2019년 04월 05일","54.99","53.97","55.22","53.22","65.19M","2.67%"
"2019년 04월 04일","53.56","52.38","54.24","52.12","118.60M","-8.22%"
"2019년 04월 03일","58.36","57.46","59.23","57.43","39.65M","2.06%"
"2019년 04월 02일","57.18","57.66","57.89","56.78","27.39M","-1.14%"
"2019년 04월 01일","57.84","56.52","57.84","56.26","40.55M","3.34%"
"2019년 03월 29일","55.97","55.74","56.03","54.90","29.96M","0.45%"
"2019년 03월 28일","55.72","55.43","56.07","55.02","33.87M","1.36%"
"2019년 03월 27일","54.97","53.75","55.07","53.64","43.90M","2.65%"
