"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 04일","61.04","61.02","61.23","60.73","4.29M","-0.36%"
"2022년 03월 03일","61.26","60.81","61.30","60.76","5.43M","0.66%"
"2022년 03월 02일","60.86","60.76","61.13","60.57","5.04M","0.18%"
"2022년 03월 01일","60.75","61.38","61.38","60.73","4.79M","-1.22%"
"2022년 02월 28일","61.50","60.94","61.61","60.25","12.74M","40.38%"
"2022년 02월 25일","43.81","42.47","43.95","42.44","1.64M","1.74%"
"2022년 02월 24일","43.06","39.80","43.77","39.22","2.09M","4.74%"
"2022년 02월 23일","41.11","40.11","41.65","38.25","3.34M","26.03%"
"2022년 02월 22일","32.62","33.96","34.10","32.54","622.43K","-2.34%"
"2022년 02월 18일","33.40","34.15","34.71","33.19","475.61K","-3.24%"
"2022년 02월 17일","34.52","35.43","35.80","34.28","372.99K","-2.95%"
"2022년 02월 16일","35.57","36.34","36.74","35.42","350.72K","-2.15%"
"2022년 02월 15일","36.35","35.32","36.88","34.69","690.03K","2.25%"
"2022년 02월 14일","35.55","37.17","37.30","35.45","654.48K","-5.20%"
"2022년 02월 11일","37.50","37.64","38.39","37.04","598.57K","0.05%"
"2022년 02월 10일","37.48","37.14","39.27","37.14","1.04M","-0.45%"
"2022년 02월 09일","37.65","37.07","37.96","37.07","880.34K","2.93%"
"2022년 02월 08일","36.58","36.94","37.08","35.39","1.07M","-0.95%"
"2022년 02월 07일","36.93","37.90","38.29","36.87","794.02K","-3.02%"
"2022년 02월 04일","38.08","38.20","38.67","37.39","674.08K","1.06%"
"2022년 02월 03일","37.68","38.10","38.72","37.53","614.14K","-1.77%"
"2022년 02월 02일","38.36","41.19","41.19","38.16","725.39K","-6.30%"
"2022년 02월 01일","40.94","40.45","41.29","39.71","1.40M","1.69%"
"2022년 01월 31일","40.26","39.54","40.53","39.20","1.51M","2.26%"
"2022년 01월 28일","39.37","39.03","39.38","37.86","617.26K","1.21%"
"2022년 01월 27일","38.90","39.96","40.51","38.25","729.45K","-0.51%"
"2022년 01월 26일","39.10","41.83","41.90","38.43","851.55K","-3.29%"
"2022년 01월 25일","40.43","40.72","41.08","39.42","748.41K","-1.94%"
"2022년 01월 24일","41.23","38.37","41.38","37.63","681.76K","4.04%"
"2022년 01월 21일","39.63","41.13","41.53","39.54","906.75K","-5.55%"
"2022년 01월 20일","41.96","43.89","45.11","41.80","470.71K","-4.92%"
"2022년 01월 19일","44.13","45.12","46.02","44.00","488.41K","-2.60%"
"2022년 01월 18일","45.31","45.17","46.48","44.94","410.15K","0.09%"
"2022년 01월 14일","45.27","44.42","45.49","43.92","454.71K","1.03%"
"2022년 01월 13일","44.81","46.40","47.16","44.66","416.57K","-2.86%"
"2022년 01월 12일","46.13","46.71","47.52","44.88","649.98K","-0.71%"
"2022년 01월 11일","46.46","45.24","46.76","44.55","768.38K","3.89%"
"2022년 01월 10일","44.72","45.67","46.00","43.66","642.26K","-2.36%"
"2022년 01월 07일","45.80","46.36","47.05","44.49","722.86K","-1.12%"
"2022년 01월 06일","46.32","45.73","47.11","45.25","615.58K","3.00%"
"2022년 01월 05일","44.97","44.89","47.56","44.41","1.01M","0.56%"
"2022년 01월 04일","44.72","44.99","45.39","43.56","475.55K","-0.29%"
"2022년 01월 03일","44.85","42.99","45.22","42.88","568.64K","5.68%"
