"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 01월 14일","5,913.00","5,944.25","5,968.75","5,877.50","-","-0.75%"
"2019년 01월 11일","5,957.50","5,921.00","5,982.50","5,917.50","-","0.71%"
"2019년 01월 10일","5,915.75","5,955.00","5,985.50","5,905.75","-","-0.82%"
"2019년 01월 09일","5,964.50","5,942.50","6,007.25","5,925.75","-","0.43%"
"2019년 01월 08일","5,939.00","5,920.25","5,947.50","5,885.75","-","0.45%"
"2019년 01월 07일","5,912.25","5,930.25","5,958.00","5,898.75","-","-0.36%"
"2019년 01월 04일","5,933.75","5,773.75","5,939.50","5,771.50","-","2.69%"
"2019년 01월 03일","5,778.50","5,835.50","5,890.50","5,727.00","-","-1.58%"
"2019년 01월 02일","5,871.25","5,960.00","5,994.75","5,831.50","-","-1.83%"
"2018년 12월 31일","5,981.00","6,011.25","6,040.25","5,980.25","-","-0.19%"
"2018년 12월 28일","5,992.25","6,007.75","6,078.75","5,985.25","-","0.34%"
"2018년 12월 27일","5,972.00","6,031.50","6,045.50","5,958.50","-","0.24%"
"2018년 12월 24일","5,957.50","5,981.00","5,993.25","5,950.25","-","-0.30%"
"2018년 12월 21일","5,975.25","6,028.25","6,051.50","5,973.25","-","-0.74%"
"2018년 12월 20일","6,019.50","6,003.00","6,059.25","5,946.25","-","-0.73%"
"2018년 12월 19일","6,063.75","5,970.25","6,074.25","5,970.25","-","1.80%"
"2018년 12월 18일","5,956.25","6,121.25","6,135.50","5,955.25","-","-2.86%"
"2018년 12월 17일","6,131.50","6,132.75","6,143.50","6,079.25","-","-0.16%"
"2018년 12월 14일","6,141.50","6,144.00","6,158.25","6,078.50","-","-0.16%"
"2018년 12월 13일","6,151.50","6,153.00","6,230.00","6,144.50","-","-0.00%"
"2018년 12월 12일","6,151.75","6,173.25","6,185.75","6,132.75","-","0.07%"
"2018년 12월 11일","6,147.50","6,099.50","6,194.00","6,097.75","-","0.83%"
"2018년 12월 10일","6,097.00","6,118.00","6,147.75","6,075.25","-","-0.87%"
"2018년 12월 07일","6,150.25","6,137.00","6,191.50","6,129.00","-","0.27%"
"2018년 12월 06일","6,133.75","6,165.50","6,165.50","6,068.25","-","-0.94%"
"2018년 12월 05일","6,191.75","6,173.25","6,203.50","6,144.25","-","0.42%"
"2018년 12월 04일","6,166.00","6,239.00","6,297.00","6,153.25","-","-1.35%"
"2018년 12월 03일","6,250.25","6,302.75","6,351.50","6,237.25","-","0.86%"
"2018년 11월 30일","6,196.75","6,208.25","6,232.75","6,164.50","-","-0.11%"
"2018년 11월 29일","6,203.75","6,246.75","6,254.50","6,197.00","-","-0.80%"
"2018년 11월 28일","6,253.75","6,116.50","6,266.50","6,113.25","-","2.33%"
"2018년 11월 27일","6,111.50","6,162.25","6,172.75","6,092.75","-","-0.93%"
"2018년 11월 26일","6,168.75","6,186.50","6,229.00","6,156.00","-","0.00%"
"2018년 11월 23일","6,168.50","6,252.00","6,260.00","6,155.00","-","-1.54%"
"2018년 11월 22일","6,264.75","6,222.00","6,266.50","6,208.75","-","0.53%"
"2018년 11월 21일","6,231.75","6,164.50","6,261.50","6,160.50","-","0.96%"
"2018년 11월 20일","6,172.50","6,245.00","6,295.25","6,148.50","-","-1.13%"
