,date,매출액,매출원가,매출총이익,영업이익,순이익,자산총계,매출총이익률,영업이익률,주당순이익EPS(달러),주가수익배수PER(배),총자산이익률ROA(%)
901,2018-07-02,17683.811671087533,14183.920424403183,3499.8912466843503,-484.8169761273209,-906.3713527851459,28514.53580901857,20.515494146054603,-3.4476756465317653,-1.0703713527851457,-64.84978779840849,-3.43315649867374
902,2018-07-03,17714.029177718832,14209.801061007958,3504.2281167108754,-484.0424403183024,-906.9283819628647,28524.33952254642,20.502043507270397,-3.434557686678928,-1.0709283819628648,-64.79946949602122,-3.43289124668435
903,2018-07-05,17744.24668435013,14235.681697612732,3508.5649867374004,-483.2679045092838,-907.4854111405836,28534.14323607427,20.488592868486194,-3.4214397268260903,-1.0714854111405836,-64.74915119363395,-3.43262599469496
904,2018-07-06,17774.46419098143,14261.562334217506,3512.901856763926,-482.49336870026525,-908.0424403183024,28543.946949602123,20.475142229701987,-3.408321766973253,-1.0720424403183024,-64.69883289124668,-3.43236074270557
905,2018-07-09,17804.68169761273,14287.442970822281,3517.238726790451,-481.7188328912467,-908.5994694960212,28553.750663129973,20.46169159091778,-3.3952038071204154,-1.0725994694960213,-64.64851458885941,-3.4320954907161805
906,2018-07-10,17834.89920424403,14313.323607427057,3521.575596816976,-480.9442970822281,-909.1564986737401,28563.554376657827,20.448240952133578,-3.382085847267578,-1.07315649867374,-64.59819628647215,-3.4318302387267905
907,2018-07-11,17865.116710875333,14339.204244031831,3525.9124668435015,-480.16976127320953,-909.7135278514588,28573.358090185677,20.43479031334937,-3.3689678874147404,-1.073713527851459,-64.54787798408488,-3.4315649867374005
908,2018-07-12,17895.334217506632,14365.084880636605,3530.2493368700266,-479.39522546419096,-910.2705570291778,28583.161803713527,20.421339674565168,-3.355849927561903,-1.0742705570291777,-64.49755968169761,-3.4312997347480105
909,2018-07-13,17925.55172413793,14390.96551724138,3534.5862068965516,-478.62068965517244,-910.8275862068965,28592.96551724138,20.40788903578096,-3.3427319677090654,-1.0748275862068966,-64.44724137931034,-3.4310344827586206
910,2018-07-16,17955.76923076923,14416.846153846154,3538.923076923077,-477.8461538461538,-911.3846153846154,28602.76923076923,20.394438396996758,-3.329614007856228,-1.0753846153846154,-64.39692307692307,-3.4307692307692306
