"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 05일","24.24","25.33","26.10","24.11","599.19K","-1.34%"
"2020년 05월 04일","24.57","22.51","24.83","22.16","769.88K","6.55%"
"2020년 05월 01일","23.06","24.81","25.80","22.66","889.60K","-7.05%"
"2020년 04월 30일","24.81","24.89","25.89","24.50","836.36K","-0.68%"
"2020년 04월 29일","24.98","25.45","25.67","24.70","604.57K","2.13%"
"2020년 04월 28일","24.46","24.90","25.45","24.07","432.70K","-0.12%"
"2020년 04월 27일","24.49","23.69","24.70","23.57","355.29K","3.16%"
"2020년 04월 24일","23.74","23.52","24.00","22.86","363.67K","2.06%"
"2020년 04월 23일","23.26","22.91","23.49","22.50","399.92K","5.58%"
"2020년 04월 22일","22.03","21.99","22.26","21.35","478.66K","3.52%"
"2020년 04월 21일","21.28","21.89","22.11","20.93","548.75K","-5.00%"
"2020년 04월 20일","22.40","21.32","22.83","21.00","738.38K","-0.27%"
"2020년 04월 17일","22.46","21.47","22.59","21.27","744.97K","7.31%"
"2020년 04월 16일","20.93","21.33","21.51","19.60","498.42K","-1.64%"
"2020년 04월 15일","21.28","21.75","22.20","19.69","712.38K","-6.58%"
"2020년 04월 14일","22.78","23.86","24.17","22.67","648.98K","-3.68%"
"2020년 04월 13일","23.65","24.03","24.66","23.37","910.10K","0.90%"
"2020년 04월 09일","23.44","24.35","24.76","22.55","633.75K","-0.26%"
"2020년 04월 08일","23.50","23.10","24.38","22.86","975.80K","3.52%"
"2020년 04월 07일","22.70","22.22","23.19","21.96","724.35K","5.04%"
"2020년 04월 06일","21.61","20.56","21.79","20.10","676.00K","8.54%"
"2020년 04월 03일","19.91","19.49","20.84","18.99","567.27K","2.52%"
"2020년 04월 02일","19.42","18.90","20.27","18.73","800.02K","2.26%"
"2020년 04월 01일","18.99","19.65","20.37","18.83","720.93K","-7.50%"
"2020년 03월 31일","20.53","19.43","20.59","18.37","853.65K","9.79%"
"2020년 03월 30일","18.70","17.85","19.40","16.94","805.54K","2.30%"
"2020년 03월 27일","18.28","18.80","19.17","18.16","770.80K","-6.73%"
"2020년 03월 26일","19.60","19.80","20.31","18.79","1.10M","-2.29%"
"2020년 03월 25일","20.06","21.40","22.11","19.31","1.17M","-4.02%"
"2020년 03월 24일","20.90","19.78","22.11","19.77","947.55K","10.99%"
"2020년 03월 23일","18.83","19.56","20.21","18.19","730.92K","-4.71%"
"2020년 03월 20일","19.76","19.94","20.55","18.29","1.13M","3.67%"
"2020년 03월 19일","19.06","17.08","19.64","16.28","1.05M","11.07%"
"2020년 03월 18일","17.16","19.00","20.86","16.38","1.06M","-9.54%"
"2020년 03월 17일","18.97","21.20","21.20","18.79","1.23M","-9.32%"
"2020년 03월 16일","20.92","22.80","24.14","18.80","1.68M","-26.60%"
"2020년 03월 13일","28.50","21.15","28.50","19.26","1.17M","46.83%"
"2020년 03월 12일","19.41","19.12","20.99","18.63","1.49M","-7.04%"
"2020년 03월 11일","20.88","22.95","23.63","19.84","1.36M","-12.45%"
"2020년 03월 10일","23.85","25.05","25.81","23.08","1.34M","2.10%"
"2020년 03월 09일","23.36","23.44","24.03","20.31","1.89M","-13.45%"
"2020년 03월 06일","26.99","27.00","28.13","25.39","1.55M","-0.59%"
"2020년 03월 05일","27.15","26.66","27.93","26.33","946.54K","-1.20%"
"2020년 03월 04일","27.48","26.58","27.61","26.19","622.04K","5.45%"
"2020년 03월 03일","26.06","27.13","27.82","25.73","510.93K","-3.48%"
"2020년 03월 02일","27.00","26.65","27.13","25.25","560.27K","2.08%"
"2020년 02월 28일","26.45","24.90","26.66","24.51","838.89K","2.16%"
"2020년 02월 27일","25.89","27.13","27.56","25.85","1.02M","-7.00%"
"2020년 02월 26일","27.84","27.59","28.93","27.30","692.76K","0.87%"
"2020년 02월 25일","27.60","29.40","29.40","26.83","708.01K","-5.06%"
"2020년 02월 24일","29.07","29.16","29.47","28.08","581.90K","-3.90%"
"2020년 02월 21일","30.25","30.74","30.83","30.03","508.97K","-1.98%"
"2020년 02월 20일","30.86","30.57","31.50","30.08","624.82K","0.78%"
"2020년 02월 19일","30.62","29.65","31.00","29.50","1.04M","4.15%"
"2020년 02월 18일","29.40","28.95","29.81","28.80","575.55K","1.07%"
"2020년 02월 14일","29.09","28.40","29.15","28.14","606.47K","2.47%"
"2020년 02월 13일","28.39","27.79","29.08","27.64","844.55K","2.27%"
"2020년 02월 12일","27.76","27.97","28.00","27.50","472.21K","0.73%"
"2020년 02월 11일","27.56","27.85","28.13","27.02","466.26K","0.29%"
"2020년 02월 10일","27.48","26.79","27.49","26.43","332.70K","2.35%"
"2020년 02월 07일","26.85","27.94","28.28","26.42","429.48K","-4.58%"
"2020년 02월 06일","28.14","27.95","28.57","27.65","559.01K","0.90%"
"2020년 02월 05일","27.89","27.77","28.03","27.30","675.82K","2.01%"
"2020년 02월 04일","27.34","26.98","27.62","26.34","703.58K","3.09%"
"2020년 02월 03일","26.52","26.35","27.59","26.25","920.60K","0.91%"
"2020년 01월 31일","26.28","25.68","26.55","25.60","589.22K","1.08%"
"2020년 01월 30일","26.00","25.70","26.54","25.48","561.26K","0.08%"
"2020년 01월 29일","25.98","26.33","26.64","25.85","385.19K","-0.61%"
"2020년 01월 28일","26.14","25.86","26.36","25.73","463.78K","1.83%"
"2020년 01월 27일","25.67","25.44","26.08","25.09","693.24K","-1.23%"
"2020년 01월 24일","25.99","26.53","26.56","25.68","565.25K","-1.92%"
"2020년 01월 23일","26.50","25.39","26.61","25.15","538.93K","3.56%"
"2020년 01월 22일","25.59","25.54","25.72","25.17","373.38K","0.27%"
"2020년 01월 21일","25.52","25.29","25.73","24.63","616.76K","0.51%"
"2020년 01월 17일","25.39","26.60","26.76","25.31","620.33K","-3.93%"
"2020년 01월 16일","26.43","26.30","26.71","26.22","391.91K","0.88%"
"2020년 01월 15일","26.20","26.34","26.86","25.92","510.32K","-0.61%"
"2020년 01월 14일","26.36","25.51","26.88","25.26","801.97K","4.15%"
"2020년 01월 13일","25.31","25.31","25.39","24.31","939.78K","0.12%"
"2020년 01월 10일","25.28","25.36","25.55","25.12","537.29K","-0.12%"
"2020년 01월 09일","25.31","25.18","25.50","24.68","684.36K","0.48%"
"2020년 01월 08일","25.19","26.37","26.40","24.86","1.20M","-4.73%"
"2020년 01월 07일","26.44","28.17","28.28","26.08","1.38M","-6.87%"
"2020년 01월 06일","28.39","28.53","28.81","28.00","716.79K","-1.47%"
"2020년 01월 03일","28.82","28.16","28.94","27.73","1.41M","3.32%"
"2020년 01월 02일","27.89","27.21","27.95","26.62","781.05K","3.49%"
