카테고리: 모든 카테고리

일,tesla: (전 세계)
2017-01-01,65
2017-01-02,63
2017-01-03,62
2017-01-04,71
2017-01-05,71
2017-01-06,70
2017-01-07,71
2017-01-08,69
2017-01-09,64
2017-01-10,64
2017-01-11,61
2017-01-12,60
2017-01-13,67
2017-01-14,69
2017-01-15,61
2017-01-16,60
2017-01-17,59
2017-01-18,60
2017-01-19,64
2017-01-20,62
2017-01-21,62
2017-01-22,65
2017-01-23,61
2017-01-24,64
2017-01-25,61
2017-01-26,61
2017-01-27,66
2017-01-28,65
2017-01-29,63
2017-01-30,59
2017-01-31,59
2017-02-01,60
2017-02-02,59
2017-02-03,61
2017-02-04,62
2017-02-05,63
2017-02-06,60
2017-02-07,62
2017-02-08,70
2017-02-09,70
2017-02-10,66
2017-02-11,66
2017-02-12,61
2017-02-13,66
2017-02-14,68
2017-02-15,69
2017-02-16,78
2017-02-17,72
2017-02-18,70
2017-02-19,69
2017-02-20,64
2017-02-21,66
2017-02-22,75
2017-02-23,82
2017-02-24,69
2017-02-25,67
2017-02-26,68
2017-02-27,66
2017-02-28,70
2017-03-01,62
2017-03-02,64
2017-03-03,66
2017-03-04,64
2017-03-05,71
2017-03-06,63
2017-03-07,63
2017-03-08,62
2017-03-09,64
2017-03-10,65
2017-03-11,64
2017-03-12,62
2017-03-13,61
2017-03-14,65
2017-03-15,66
2017-03-16,65
2017-03-17,64
2017-03-18,67
2017-03-19,65
2017-03-20,62
2017-03-21,63
2017-03-22,62
2017-03-23,61
2017-03-24,67
2017-03-25,70
2017-03-26,68
2017-03-27,66
2017-03-28,71
2017-03-29,69
2017-03-30,69
2017-03-31,68
2017-04-01,68
2017-04-02,67
2017-04-03,84
2017-04-04,100
2017-04-05,79
2017-04-06,71
2017-04-07,67
2017-04-08,71
2017-04-09,66
2017-04-10,82
2017-04-11,87
2017-04-12,75
2017-04-13,79
2017-04-14,83
2017-04-15,76
2017-04-16,77
2017-04-17,74
2017-04-18,72
2017-04-19,68
2017-04-20,71
2017-04-21,74
2017-04-22,74
2017-04-23,66
2017-04-24,70
2017-04-25,72
2017-04-26,68
2017-04-27,68
2017-04-28,68
2017-04-29,69
2017-04-30,73
2017-05-01,74
2017-05-02,71
2017-05-03,75
2017-05-04,84
2017-05-05,76
2017-05-06,73
2017-05-07,70
2017-05-08,70
2017-05-09,69
2017-05-10,81
2017-05-11,90
2017-05-12,82
2017-05-13,76
2017-05-14,74
2017-05-15,72
2017-05-16,73
2017-05-17,70
2017-05-18,70
2017-05-19,72
2017-05-20,71
2017-05-21,68
2017-05-22,70
2017-05-23,65
2017-05-24,66
2017-05-25,67
2017-05-26,72
2017-05-27,67
2017-05-28,66
2017-05-29,64
2017-05-30,69
2017-05-31,67
2017-06-01,73
2017-06-02,76
2017-06-03,69
2017-06-04,70
2017-06-05,69
2017-06-06,70
2017-06-07,80
2017-06-08,74
2017-06-09,78
2017-06-10,72
2017-06-11,72
2017-06-12,70
2017-06-13,75
2017-06-14,76
2017-06-15,75
2017-06-16,73
2017-06-17,73
2017-06-18,70
2017-06-19,69
2017-06-20,76
2017-06-21,72
2017-06-22,75
2017-06-23,78
2017-06-24,74
2017-06-25,72
2017-06-26,71
2017-06-27,73
2017-06-28,68
2017-06-29,71
2017-06-30,70
